Model,Features,Accuracy,F1-Macro,P-Macro,R-Macro,P-Bearish,R-Bearish,P-Bullish,R-Bullish,P-Neutral,R-Neutral
SVM - LinearSVC (C=0.1),BoW Binary (stem),0.8224,0.7603,0.773,0.7492,0.714,0.649,0.736,0.696,0.869,0.902
SVM - LinearSVC (C=1.0),TF-IDF Bi (stem),0.8235,0.7575,0.769,0.7474,0.678,0.622,0.756,0.717,0.873,0.904
"Logistic Regression (L2, C=1)",TF-IDF Bi (stem),0.8104,0.751,0.7446,0.7581,0.632,0.674,0.715,0.735,0.887,0.866
SVM - LinearSVC (C=0.1),BoW Count (stem),0.8151,0.75,0.7617,0.7398,0.695,0.632,0.725,0.691,0.866,0.896
MLP (512->256),BoW Count (stem),0.8214,0.7496,0.7827,0.7252,0.717,0.59,0.782,0.66,0.849,0.926
MLP (256),BoW Binary (stem),0.8203,0.7486,0.7868,0.7217,0.745,0.569,0.77,0.67,0.845,0.926
SVM - LinearSVC (C=1.0),TF-IDF Uni (stem),0.8109,0.7483,0.7544,0.7427,0.678,0.642,0.718,0.701,0.867,0.884
"Logistic Regression (L2, C=1)",BoW Binary (stem),0.8051,0.7478,0.7406,0.7563,0.626,0.691,0.714,0.719,0.882,0.858
"XGBoost (lr=0.1, 200 trees)",BoW Binary (stem),0.8114,0.7475,0.7431,0.7522,0.617,0.639,0.725,0.745,0.887,0.872
MLP (256),BoW Count (stem),0.8198,0.7467,0.7877,0.7182,0.738,0.566,0.784,0.66,0.842,0.929
SVM - LinearSVC (C=1.0),TF-IDF Bi (lem),0.8156,0.7466,0.76,0.735,0.663,0.615,0.753,0.688,0.864,0.902
MLP (512->256),BoW Binary (stem),0.8188,0.7459,0.7773,0.7227,0.719,0.576,0.763,0.67,0.85,0.922
"XGBoost (lr=0.05, 500 trees)",BoW Binary (stem),0.8093,0.7458,0.7414,0.7505,0.622,0.646,0.716,0.735,0.886,0.871
"XGBoost (lr=0.05, 500 trees)",TF-IDF Bi (stem),0.8083,0.7454,0.7448,0.7461,0.64,0.649,0.718,0.714,0.876,0.875
"Logistic Regression (L2, C=1)",TF-IDF Bi (lem),0.8067,0.7453,0.7395,0.7521,0.611,0.667,0.723,0.725,0.884,0.865
SVM - LinearSVC (C=0.1),BoW Binary (lem),0.814,0.7451,0.7608,0.7318,0.686,0.615,0.735,0.678,0.861,0.903
SVM - LinearSVC (C=0.1),BoW Count (lem),0.8151,0.7449,0.7641,0.7291,0.693,0.604,0.741,0.675,0.858,0.908
"XGBoost (lr=0.1, 200 trees)",TF-IDF Bi (stem),0.8104,0.7443,0.7454,0.7433,0.634,0.639,0.724,0.709,0.878,0.882
"XGBoost (lr=0.05, 500 trees)",BoW Count (stem),0.8083,0.7431,0.7403,0.7461,0.625,0.642,0.713,0.722,0.883,0.874
"Logistic Regression (L2, C=1)",TF-IDF Uni (stem),0.7994,0.7427,0.7334,0.7545,0.604,0.698,0.715,0.717,0.882,0.849
SVM - LinearSVC (C=0.1),TF-IDF Bi (stem),0.8177,0.7426,0.7771,0.7177,0.712,0.559,0.772,0.67,0.847,0.924
